Menu_ID,Item_Name,Selling_Price
411,Item_411,265.94
412,Item_412,395.92
413,Item_413,287.91
414,Item_414,228.07
415,Item_415,434.86
416,Item_416,317.34
417,Item_417,127.68
418,Item_418,497.28
419,Item_419,370.29
420,Item_420,343.31
421,Item_421,292.83
422,Item_422,382.17
423,Item_423,233.48
424,Item_424,346.01
425,Item_425,266.89
426,Item_426,224.92
427,Item_427,389.21
428,Item_428,399.13
429,Item_429,108.71
430,Item_430,123.82
431,Item_431,241.67
432,Item_432,108.97
433,Item_433,416.24
434,Item_434,181.80
435,Item_435,454.06
436,Item_436,130.49
437,Item_437,310.88
438,Item_438,299.27
439,Item_439,298.41
440,Item_440,279.53
441,Item_441,308.51
442,Item_442,360.28
443,Item_443,460.77
444,Item_444,498.64
445,Item_445,457.24
446,Item_446,175.44
447,Item_447,187.40
448,Item_448,303.04
449,Item_449,214.74
450,Item_450,384.76
451,Item_451,345.19
452,Item_452,292.39
453,Item_453,421.78
454,Item_454,422.16
455,Item_455,119.31
456,Item_456,198.08
457,Item_457,494.17
458,Item_458,395.19
459,Item_459,370.95
460,Item_460,124.46
461,Item_461,426.08
462,Item_462,216.75
463,Item_463,134.73
464,Item_464,360.04
465,Item_465,199.92
466,Item_466,361.08
467,Item_467,446.01
468,Item_468,121.69
469,Item_469,172.29
470,Item_470,106.36
471,Item_471,341.96
472,Item_472,179.69
473,Item_473,189.01
474,Item_474,464.24
475,Item_475,316.11
476,Item_476,392.46
477,Item_477,373.66
478,Item_478,126.73
479,Item_479,332.14
480,Item_480,471.92
481,Item_481,294.21
482,Item_482,490.58
483,Item_483,472.72
484,Item_484,299.47
485,Item_485,283.07
486,Item_486,285.51
487,Item_487,196.07
488,Item_488,266.42
489,Item_489,406.10
490,Item_490,282.46
491,Item_491,224.46
492,Item_492,239.44
493,Item_493,232.33
494,Item_494,454.25
495,Item_495,183.21
496,Item_496,459.81
497,Item_497,301.71
498,Item_498,345.35
499,Item_499,422.37
500,Item_500,378.32
