Order_Item_ID,Order_ID,Menu_ID,Quantity,Amount
82,44,27,1,357.73
83,45,461,2,852.16
84,45,193,1,268.29
85,45,353,1,336.28
86,46,126,2,885.04
87,47,394,2,597.08
88,47,232,1,415.68
89,48,370,2,336.38
90,48,437,1,310.88
91,49,422,1,382.17
92,50,448,1,303.04
93,50,238,1,124.03
94,50,194,1,397.38
95,51,367,2,781.94
96,52,247,2,810.28
97,52,371,1,477.27
98,53,13,1,322.05
99,53,351,2,562.52
100,54,388,2,748.52
101,54,386,1,170.06
102,54,212,1,103.58
103,55,80,1,352.31
104,55,371,2,954.54
105,55,47,1,457.71
106,56,386,1,170.06
107,56,444,2,997.28
108,56,95,2,532.48
109,57,49,2,660.26
110,57,141,2,669.3
111,57,189,2,708.56
112,58,163,1,442.65
113,59,178,2,523.6
114,60,78,2,915.96
115,60,244,1,248.77
116,60,168,2,238.98
117,61,297,2,232.28
118,61,185,2,951.82
119,62,224,1,100.66
120,62,48,1,344.96
121,62,76,2,864.34
122,63,209,2,964.6
123,63,198,2,891.94
124,63,492,1,239.44
125,64,349,1,356.36
126,64,108,1,453.61
127,64,296,1,350.29
128,65,267,2,774.72
129,66,40,2,702.9
130,67,151,2,499.72
131,67,22,1,444.82
132,67,241,1,399.01
133,68,121,1,166.68
134,69,26,2,708.88
135,69,401,2,731.82
136,69,145,1,276.37
137,70,131,1,129.84
138,71,32,1,194.29
139,72,221,1,390.86
140,72,385,1,353.81
141,73,157,1,226.43
142,73,149,1,347.33
143,74,468,2,243.38
144,74,78,1,457.98
145,74,459,2,741.9
146,75,262,2,873.76
147,76,375,2,535.44
148,76,383,1,440.77
149,77,457,1,494.17
150,77,152,2,716.12
151,78,314,2,527.86
152,78,103,1,213.32
153,79,462,2,433.5
154,80,321,2,741.22
155,80,280,2,802.82
156,81,435,1,454.06
157,82,448,1,303.04
158,83,397,1,474.23
159,84,236,1,153.47
160,85,388,1,374.26
161,85,316,2,506.46
162,86,14,2,401.26
163,86,328,1,122.78
164,86,431,2,483.34
165,87,174,1,499.06
166,87,477,1,373.66
167,87,337,1,450.58
168,88,131,2,259.68
169,89,377,1,438.28
170,89,88,1,153.28
171,90,3,1,137.82
172,91,403,1,115.22
173,91,25,2,933.92
174,92,281,1,295.91
175,92,62,1,403.52
176,93,495,1,183.21
177,93,436,2,260.98
178,94,365,1,399.79
179,95,455,2,238.62
180,96,385,1,353.81
181,96,188,1,495.11
182,96,380,1,422.17
183,97,404,1,100.37
184,98,25,1,466.96
185,98,247,2,810.28
186,99,304,2,853.84
187,99,80,2,704.62
188,99,378,1,120.55
189,100,328,2,245.56
190,100,421,1,292.83
191,101,425,1,266.89
192,102,416,1,317.34
193,102,171,1,323.08
194,103,438,2,598.54
195,103,339,1,210.97
196,103,172,1,204.03
197,104,467,1,446.01
198,105,315,1,353.09
199,106,294,1,106.35
200,106,291,1,439.45
201,107,482,2,981.16
202,107,438,1,299.27
203,108,271,2,941.28
204,108,469,2,344.58
205,109,246,2,694.78
206,110,194,1,397.38
207,110,227,1,464.15
208,111,393,2,699.34
209,112,76,1,432.17
210,113,224,1,100.66
211,114,405,2,648.22
212,115,397,2,948.46
213,116,312,2,484.46
214,116,248,2,694.3
215,117,149,1,347.33
216,117,112,1,473.61
217,117,219,1,165.88
218,118,162,1,311.61
219,118,134,1,463.94
220,119,454,2,844.32
221,119,81,1,122.61
222,120,490,2,564.92
223,121,358,2,941.22
224,121,22,2,889.64
225,121,97,1,419.88
226,122,451,1,345.19
227,122,149,1,347.33
228,123,251,2,562.12
229,123,234,2,609.14
230,123,140,2,430.62
231,124,19,2,329.74
232,124,390,1,271.24
233,125,35,2,982.78
234,125,187,2,795.82
235,125,441,2,617.02
236,126,198,1,445.97
237,126,400,1,427.97
238,126,340,1,332.97
239,127,241,1,399.01
240,127,466,2,722.16
241,128,266,1,269.26
242,129,255,2,717.86
243,129,220,2,201.78
244,129,456,1,198.08
245,130,460,2,248.92
246,131,218,1,142.99
247,131,199,2,701.32
248,131,260,2,211.08
249,132,391,1,450.95
250,132,61,1,227.64
251,133,470,2,212.72
252,133,231,1,316.45
253,133,482,1,490.58
254,134,282,1,405.95
255,135,431,1,241.67
256,135,86,2,293.36
257,135,389,2,878
258,136,490,1,282.46
259,136,320,2,485.78
260,136,14,2,401.26
261,137,399,2,313.76
262,137,449,2,429.48
263,137,99,2,535.68
264,138,110,2,362.7
265,138,461,2,852.16
266,139,290,2,713.04
267,139,498,2,690.7
268,140,428,2,798.26
269,140,131,1,129.84
270,140,139,2,728.5
271,141,140,1,215.31
272,141,402,2,471.54
273,141,190,2,936.74
274,142,27,2,715.46
275,143,249,1,425.77
276,143,300,2,783.82
277,143,269,1,247.29
278,144,460,2,248.92
279,144,384,2,671.2
280,144,79,2,951.26
281,145,365,2,799.58
282,145,295,1,224.75
283,145,459,2,741.9
284,146,100,2,909.52
285,146,209,2,964.6
286,146,142,2,902.76
287,147,429,1,108.71
288,147,489,2,812.2
289,148,166,1,466.96
290,148,499,1,422.37
291,148,182,1,314.03
292,149,286,2,451.52
293,150,55,2,507.3
294,150,149,1,347.33
295,150,359,1,409.38
296,151,489,1,406.1
297,151,24,2,247.46
298,152,204,2,849.64
299,152,239,2,512.88
300,152,76,2,864.34
301,153,80,2,704.62
302,154,221,1,390.86
303,154,380,2,844.34
304,155,235,1,190.73
305,155,292,1,183.59
306,155,353,2,672.56
307,156,250,2,801.96
308,157,435,2,908.12
309,158,487,1,196.07
310,159,164,2,584.08
311,160,65,2,768.1
312,160,215,1,275.11
313,161,457,1,494.17
314,161,335,1,465.95
315,162,201,1,278.35
316,163,417,1,127.68
317,163,202,1,223.8
318,163,122,2,850.36
319,164,443,1,460.77
320,165,222,2,352.8
321,165,225,2,403.46
322,165,208,2,592.86
323,166,377,1,438.28
324,167,290,2,713.04
325,167,114,2,284.2
326,168,223,1,266.13
327,168,239,1,256.44
328,168,188,1,495.11
329,169,232,1,415.68
330,169,96,1,260.46
331,170,388,2,748.52
332,170,152,2,716.12
333,170,171,2,646.16
334,171,16,2,965.8
335,172,255,1,358.93
336,172,187,1,397.91
337,173,205,2,839.18
338,173,456,2,396.16
339,173,149,1,347.33
340,174,301,2,628.38
341,174,336,1,310.56
342,174,478,2,253.46
343,175,127,2,814.62
344,175,221,1,390.86
345,176,178,1,261.8
346,176,188,1,495.11
347,176,248,2,694.3
348,177,103,2,426.64
349,177,450,2,769.52
350,177,302,2,453.16
351,178,137,2,688.36
352,179,11,1,453.72
353,179,320,2,485.78
354,179,217,1,103.6
355,180,204,2,849.64
356,181,481,2,588.42
357,182,66,2,682.24
358,183,347,1,234.55
359,183,2,1,161.31
360,183,139,1,364.25
361,184,286,2,451.52
362,184,23,2,782.82
363,184,127,2,814.62
364,185,392,1,183.61
365,185,415,1,434.86
366,185,458,2,790.38
367,186,128,1,251.43
368,186,373,1,397.79
369,186,267,1,387.36
370,187,312,1,242.23
371,187,169,1,483.14
372,187,280,1,401.41
373,188,365,1,399.79
374,188,175,1,110.28
375,189,458,1,395.19
376,189,174,2,998.12
377,189,486,1,285.51
378,190,222,1,176.4
379,190,325,1,230.66
380,190,493,1,232.33
381,191,360,2,458.2
382,191,292,2,367.18
383,192,83,2,539.3
384,193,398,2,693.24
385,193,74,1,489.32
386,194,443,1,460.77
387,194,204,1,424.82
388,194,27,2,715.46
389,195,422,2,764.34
390,195,300,2,783.82
391,195,307,1,194.55
392,196,77,1,442.76
393,196,126,1,442.52
394,196,41,2,471.56
395,197,182,2,628.06
396,197,367,1,390.97
397,197,389,2,878
398,198,324,1,462.7
399,198,109,1,477.32
400,198,147,2,371.52
401,199,292,2,367.18
402,199,149,1,347.33
403,199,204,2,849.64
404,200,449,2,429.48
405,201,434,1,181.8
406,202,283,2,603.08
407,202,198,2,891.94
408,202,49,1,330.13
409,203,187,2,795.82
410,203,251,2,562.12
411,203,165,2,655.06
412,204,438,1,299.27
413,204,296,1,350.29
414,205,189,2,708.56
415,206,346,2,498.8
416,207,476,1,392.46
417,207,302,1,226.58
418,207,8,2,958.1
419,208,101,1,177.98
420,208,190,2,936.74
421,208,415,1,434.86
422,209,72,1,162.21
423,210,241,2,798.02
424,211,106,2,773.28
425,211,495,2,366.42
426,211,326,2,265.52
427,212,458,1,395.19
428,213,348,1,420.44
429,214,445,1,457.24
430,214,69,2,729.22
431,215,233,1,484.9
432,215,398,2,693.24
433,216,145,1,276.37
434,216,319,1,267.66
435,216,16,1,482.9
436,217,64,2,477.44
437,217,430,2,247.64
438,217,495,2,366.42
439,218,217,2,207.2
440,218,492,2,478.88
441,219,365,1,399.79
442,220,283,1,301.54
443,221,434,1,181.8
444,221,202,1,223.8
445,222,365,2,799.58
446,222,403,2,230.44
447,223,478,2,253.46
448,223,73,1,199.57
449,223,167,1,459.07
450,224,66,2,682.24
451,224,454,2,844.32
452,225,130,2,919.38
453,225,229,2,646.34
454,226,270,2,615.06
455,226,96,1,260.46
456,226,52,2,771.1
457,227,365,2,799.58
458,228,365,2,799.58
459,228,278,2,758.02
460,229,408,2,771.6
461,229,237,2,940.4
462,229,461,1,426.08
463,230,160,2,955.1
464,230,386,2,340.12
465,230,29,2,414.22
466,231,91,2,404.34
467,231,124,1,312.59
468,231,331,1,166.08
469,232,42,2,578.08
470,232,365,2,799.58
471,233,228,2,584.48
472,233,269,1,247.29
473,233,267,2,774.72
474,234,448,1,303.04
475,235,149,2,694.66
476,235,403,1,115.22
477,235,361,1,458.42
478,236,225,1,201.73
479,236,118,2,993.3
480,236,493,1,232.33
481,237,254,2,945.14
482,238,101,2,355.96
483,238,453,2,843.56
484,238,150,2,905.72
485,239,246,1,347.39
486,239,415,1,434.86
487,239,11,1,453.72
488,240,50,2,520.7
489,241,306,1,122.27
490,241,203,1,140.98
491,242,301,2,628.38
492,242,56,2,626.98
493,243,204,2,849.64
494,243,51,1,269.48
495,243,340,1,332.97
496,244,264,2,764.44
497,244,461,1,426.08
498,245,461,2,852.16
499,245,449,2,429.48
500,245,217,2,207.2
501,246,418,1,497.28
502,246,437,1,310.88
503,247,64,2,477.44
504,247,80,2,704.62
505,248,106,1,386.64
506,248,168,1,119.49
507,249,230,2,849.08
508,249,255,2,717.86
509,249,109,2,954.64
510,250,273,2,679.18
511,250,166,1,466.96
512,251,363,2,887.78
513,251,307,1,194.55
514,252,323,1,257.12
515,253,44,1,106.36
516,253,247,2,810.28
517,254,212,2,207.16
518,254,427,2,778.42
519,254,243,1,218.14
520,255,385,1,353.81
521,256,217,1,103.6
522,256,401,1,365.91
523,257,199,2,701.32
524,258,229,2,646.34
525,258,251,1,281.06
526,258,164,1,292.04
527,259,383,1,440.77
528,260,115,2,471.62
529,260,416,2,634.68
530,260,431,2,483.34
531,261,495,1,183.21
532,261,94,2,977.84
533,261,46,2,403.94
534,262,208,1,296.43
535,262,55,2,507.3
536,262,91,2,404.34
537,263,298,1,334.65
538,264,429,2,217.42
539,264,202,2,447.6
540,264,112,1,473.61
541,265,75,1,446.61
542,265,406,1,403.84
543,266,29,2,414.22
544,266,262,2,873.76
545,267,430,1,123.82
546,267,47,1,457.71
547,268,448,2,606.08
548,269,187,1,397.91
549,269,248,1,347.15
550,270,384,2,671.2
551,270,226,2,242.16
552,270,241,1,399.01
553,271,300,1,391.91
554,271,243,1,218.14
555,271,94,2,977.84
556,272,150,1,452.86
557,272,499,2,844.74
558,273,112,1,473.61
559,274,293,1,277.43
560,274,242,2,693.68
561,274,216,1,240
562,275,433,2,832.48
563,275,39,2,352.14
564,275,256,2,428.74
565,276,35,2,982.78
566,276,89,2,499.52
567,276,33,2,767
568,277,342,2,479.24
569,277,173,1,396.06
570,278,354,2,230.46
571,279,100,1,454.76
572,279,402,1,235.77
573,280,91,1,202.17
574,280,409,1,476.54
575,280,183,1,372.22
576,281,255,1,358.93
577,281,192,1,105.3
578,281,180,2,960.12
579,282,341,2,248.7
580,282,436,2,260.98
581,282,137,2,688.36
582,283,233,1,484.9
583,284,473,1,189.01
584,285,26,1,354.44
585,285,479,2,664.28
586,285,162,2,623.22
587,286,383,2,881.54
588,287,6,1,472.79
589,287,1,2,231.2
590,287,250,2,801.96
591,288,223,1,266.13
592,288,302,1,226.58
593,289,100,2,909.52
594,289,403,2,230.44
595,290,120,2,713.24
596,291,294,2,212.7
597,291,499,1,422.37
598,291,102,2,567.5
599,292,221,1,390.86
600,292,258,1,207.87
601,292,316,1,253.23
602,293,149,1,347.33
603,293,282,2,811.9
604,294,494,1,454.25
605,294,60,2,645.78
606,295,67,2,642.46
607,295,14,2,401.26
608,296,305,1,191.95
609,297,121,2,333.36
610,297,194,1,397.38
611,298,311,1,153.35
612,299,119,2,465.96
613,299,224,2,201.32
614,299,105,2,490.46
615,300,231,2,632.9
616,300,260,2,211.08
617,300,463,2,269.46
618,301,314,2,527.86
619,301,492,2,478.88
620,301,136,2,592.9
621,302,164,1,292.04
622,302,174,2,998.12
623,302,129,2,604.54
624,303,328,1,122.78
625,303,41,1,235.78
626,304,228,2,584.48
627,304,197,1,251.05
628,305,427,2,778.42
629,305,171,2,646.16
630,305,253,1,165.57
631,306,21,1,154.39
632,306,471,1,341.96
633,306,166,1,466.96
634,307,225,1,201.73
635,308,17,2,444.26
636,308,374,1,431.78
637,309,149,2,694.66
638,310,97,1,419.88
639,311,173,1,396.06
640,311,104,2,413.08
641,312,189,2,708.56
642,312,161,1,130.12
643,312,293,2,554.86
644,313,374,1,431.78
645,314,287,2,582.28
646,314,392,2,367.22
647,315,75,2,893.22
648,315,98,2,622.54
649,315,437,2,621.76
650,316,113,1,133.62
651,316,445,2,914.48
652,317,256,2,428.74
653,317,258,2,415.74
654,317,477,2,747.32
655,318,150,2,905.72
656,318,187,1,397.91
657,318,228,1,292.24
658,319,498,1,345.35
659,319,352,1,391.96
660,319,9,2,806.7
661,320,208,2,592.86
662,321,149,2,694.66
663,321,122,1,425.18
664,322,378,2,241.1
665,323,227,2,928.3
666,323,105,2,490.46
667,324,367,2,781.94
668,325,156,1,124.46
669,325,254,2,945.14
670,325,365,2,799.58
671,326,187,1,397.91
672,327,245,1,440.19
673,327,224,1,100.66
674,327,446,2,350.88
675,328,499,1,422.37
676,328,179,1,219.94
677,328,409,1,476.54
678,329,230,1,424.54
679,329,34,1,299.54
680,330,125,2,439.42
681,330,401,1,365.91
682,330,424,1,346.01
683,331,231,1,316.45
684,332,44,1,106.36
685,332,243,1,218.14
686,333,353,1,336.28
687,333,290,1,356.52
688,334,111,1,448.51
689,334,209,2,964.6
690,334,350,1,288.25
691,335,476,1,392.46
692,335,217,2,207.2
693,335,83,1,269.65
694,336,212,1,103.58
695,336,479,2,664.28
696,336,244,2,497.54
697,337,230,1,424.54
698,337,377,2,876.56
699,338,388,2,748.52
700,338,247,1,405.14
701,338,182,1,314.03
702,339,423,1,233.48
703,339,14,2,401.26
704,339,413,2,575.82
705,340,249,2,851.54
706,340,388,2,748.52
707,341,11,1,453.72
708,341,148,1,462.97
709,341,9,2,806.7
710,342,377,2,876.56
711,342,297,1,116.14
712,343,344,1,353.28
713,343,220,1,100.89
714,343,45,2,760.02
715,344,119,2,465.96
716,345,336,2,621.12
717,345,24,1,123.73
718,345,22,2,889.64
719,346,284,1,337.21
720,346,67,2,642.46
721,346,12,2,732.38
722,347,20,2,568.36
723,347,159,2,494.86
724,347,320,1,242.89
725,348,437,1,310.88
726,348,472,1,179.69
727,348,404,2,200.74
728,349,250,1,400.98
729,349,446,1,175.44
730,350,470,1,106.36
731,350,249,1,425.77
732,350,269,1,247.29
733,351,447,1,187.4
734,351,134,2,927.88
735,352,127,1,407.31
736,352,395,1,371.46
737,352,374,1,431.78
738,353,281,1,295.91
739,353,140,2,430.62
740,353,254,1,472.57
741,354,352,2,783.92
742,355,297,2,232.28
743,355,108,1,453.61
744,355,255,1,358.93
745,356,497,2,603.42
746,356,492,1,239.44
747,357,280,2,802.82
748,357,195,1,255.7
749,357,348,1,420.44
750,358,196,2,780.32
751,359,190,2,936.74
752,360,113,2,267.24
753,360,56,1,313.49
754,361,203,1,140.98
755,361,395,1,371.46
756,362,406,2,807.68
757,362,251,2,562.12
758,363,289,2,856.64
759,363,62,2,807.04
760,363,463,1,134.73
761,364,397,2,948.46
762,364,49,2,660.26
763,365,481,1,294.21
764,365,136,2,592.9
765,366,435,2,908.12
766,367,221,2,781.72
767,368,257,1,211.31
768,368,307,2,389.1
769,368,379,2,727.74
770,369,338,1,152.26
771,370,131,2,259.68
772,371,97,1,419.88
773,371,228,1,292.24
774,371,305,2,383.9
775,372,419,2,740.58
776,373,145,1,276.37
777,373,160,2,955.1
778,374,223,1,266.13
779,375,167,2,918.14
780,376,74,2,978.64
781,377,131,1,129.84
782,377,442,2,720.56
783,377,177,1,156.13
784,378,140,1,215.31
785,378,446,2,350.88
786,379,189,2,708.56
787,380,262,2,873.76
788,381,7,2,586.54
789,381,81,2,245.22
790,381,37,1,347.76
791,382,355,1,278.9
792,383,480,1,471.92
793,383,376,1,417.24
794,383,78,2,915.96
795,384,80,2,704.62
796,385,225,2,403.46
797,385,223,2,532.26
798,386,298,2,669.3
799,387,362,2,588.68
800,387,386,2,340.12
801,387,299,1,342.1
802,388,313,1,320.62
803,388,404,1,100.37
804,388,104,2,413.08
805,389,385,2,707.62
806,389,210,2,703.06
807,389,364,1,324.05
808,390,333,2,448.64
809,390,460,2,248.92
810,391,17,1,222.13
811,392,398,1,346.62
812,392,448,1,303.04
813,392,248,2,694.3
814,393,22,1,444.82
815,393,284,1,337.21
816,394,408,1,385.8
817,394,263,1,167.83
818,395,419,1,370.29
819,395,81,1,122.61
820,395,217,1,103.6
821,396,114,2,284.2
822,396,489,1,406.1
823,396,37,1,347.76
824,397,279,1,185.34
825,397,185,2,951.82
826,398,297,1,116.14
827,398,12,2,732.38
828,399,434,1,181.8
829,399,121,2,333.36
830,400,487,1,196.07
831,401,160,2,955.1
832,402,478,2,253.46
833,403,445,2,914.48
834,404,173,1,396.06
835,405,272,2,457.64
836,406,433,2,832.48
837,406,473,1,189.01
838,407,289,2,856.64
839,408,272,2,457.64
840,408,215,2,550.22
841,409,283,1,301.54
842,409,391,2,901.9
843,410,22,2,889.64
844,410,489,1,406.1
845,411,352,2,783.92
846,411,43,2,747.56
847,411,387,1,209.5
848,412,309,1,273.46
849,413,341,2,248.7
850,413,91,2,404.34
851,413,408,1,385.8
852,414,253,2,331.14
853,414,263,2,335.66
854,415,367,1,390.97
855,415,33,1,383.5
856,415,87,2,752.92
857,416,481,1,294.21
858,416,79,1,475.63
859,417,348,1,420.44
860,417,494,2,908.5
861,417,132,1,349.62
862,418,128,2,502.86
863,418,251,2,562.12
864,418,150,1,452.86
865,419,404,2,200.74
866,419,185,2,951.82
867,420,417,1,127.68
868,420,378,2,241.1
869,421,307,1,194.55
870,421,245,2,880.38
871,422,144,2,338.82
872,423,20,1,284.18
873,423,448,2,606.08
874,424,28,1,173.03
875,424,60,2,645.78
876,424,405,1,324.11
877,425,393,2,699.34
878,426,99,1,267.84
879,426,122,1,425.18
880,427,298,2,669.3
881,427,136,1,296.45
882,428,16,1,482.9
883,428,454,1,422.16
884,429,4,2,537.74
885,430,28,1,173.03
886,430,40,2,702.9
887,431,205,1,419.59
888,431,119,1,232.98
889,432,489,1,406.1
890,432,98,1,311.27
891,432,4,1,268.87
892,433,407,2,474
893,433,163,2,885.3
894,433,472,2,359.38
895,434,327,2,337.14
896,434,15,1,494.07
897,434,307,1,194.55
898,435,409,1,476.54
899,435,327,2,337.14
900,436,307,2,389.1
901,436,45,2,760.02
902,437,136,1,296.45
903,438,96,2,520.92
904,438,246,1,347.39
905,438,28,2,346.06
906,439,151,1,249.86
907,440,226,2,242.16
908,440,148,1,462.97
909,441,242,1,346.84
910,441,256,2,428.74
911,442,443,2,921.54
912,442,356,2,915.6
913,443,238,1,124.03
914,443,206,1,418.32
915,443,51,2,538.96
916,444,48,1,344.96
917,445,150,2,905.72
918,446,112,1,473.61
919,446,469,1,172.29
920,447,136,1,296.45
921,447,294,1,106.35
922,447,350,2,576.5
923,448,336,1,310.56
924,448,278,2,758.02
925,449,4,1,268.87
926,449,333,1,224.32
927,450,237,1,470.2
928,451,59,1,199.38
929,452,114,1,142.1
930,452,341,1,124.35
931,452,233,1,484.9
932,453,301,2,628.38
933,453,184,2,982.78
934,454,33,2,767
935,454,149,1,347.33
936,454,400,2,855.94
937,455,437,2,621.76
938,456,106,2,773.28
939,456,391,1,450.95
940,457,130,2,919.38
941,458,483,2,945.44
942,458,74,2,978.64
943,459,118,1,496.65
944,460,38,1,450.56
945,460,217,2,207.2
946,460,205,1,419.59
947,461,51,2,538.96
948,461,315,1,353.09
949,462,76,1,432.17
950,462,433,2,832.48
951,463,390,1,271.24
952,464,298,2,669.3
953,464,5,2,464.88
954,465,53,1,419.96
955,465,354,1,115.23
956,466,346,2,498.8
957,466,329,2,600.32
958,466,381,1,409.14
959,467,307,1,194.55
960,467,328,2,245.56
961,467,275,2,418.6
962,468,193,1,268.29
963,468,58,1,370.93
964,468,8,2,958.1
965,469,328,2,245.56
966,469,251,2,562.12
967,470,360,1,229.1
968,470,191,2,705.52
969,471,49,2,660.26
970,472,429,1,108.71
971,472,40,2,702.9
972,473,3,1,137.82
973,473,243,1,218.14
974,474,319,2,535.32
975,474,286,2,451.52
976,475,184,1,491.39
977,475,290,1,356.52
978,475,168,2,238.98
979,476,79,1,475.63
980,476,272,2,457.64
981,476,229,1,323.17
982,477,485,1,283.07
983,477,380,1,422.17
984,478,47,2,915.42
985,479,370,2,336.38
986,479,91,2,404.34
987,479,263,1,167.83
988,480,336,1,310.56
989,480,202,1,223.8
990,480,46,1,201.97
991,481,171,1,323.08
992,481,450,1,384.76
993,481,399,1,156.88
994,482,200,2,393.88
995,482,256,1,214.37
996,483,483,2,945.44
997,483,64,2,477.44
998,484,491,2,448.92
999,485,255,2,717.86
1000,486,252,1,450.04
1001,486,359,2,818.76
1002,486,442,2,720.56
1003,487,370,1,168.19
1004,487,7,2,586.54
1005,488,459,2,741.9
1006,489,234,1,304.57
1007,489,317,2,773.34
1008,489,74,2,978.64
1009,490,340,2,665.94
1010,491,187,2,795.82
1011,491,353,2,672.56
1012,491,254,1,472.57
1013,492,236,2,306.94
1014,493,321,1,370.61
1015,493,217,1,103.6
1016,493,66,1,341.12
1017,494,338,1,152.26
1018,495,16,2,965.8
1019,496,23,1,391.41
1020,496,445,2,914.48
1021,496,208,2,592.86
1022,497,449,1,214.74
1023,497,88,1,153.28
1024,497,72,1,162.21
1025,498,248,1,347.15
1026,498,269,2,494.58
1027,498,454,2,844.32
1028,499,300,1,391.91
1029,500,288,2,575.38
1030,500,491,1,224.46
1031,501,487,1,196.07
1032,502,193,1,268.29
1033,503,35,2,982.78
1034,503,55,1,253.65
1035,504,155,2,883.26
1036,504,366,1,390.7
1037,504,277,1,363.88
1038,505,455,1,119.31
1039,505,279,1,185.34
1040,506,344,2,706.56
1041,507,432,2,217.94
1042,507,161,2,260.24
1043,508,8,2,958.1
1044,509,483,1,472.72
1045,509,438,1,299.27
1046,509,470,2,212.72
1047,510,399,1,156.88
1048,511,382,1,440.84
1049,511,265,2,626.6
1050,511,30,1,325.61
1051,512,247,1,405.14
1052,512,493,2,464.66
1053,513,36,2,965.86
1054,513,219,2,331.76
1055,514,18,2,603.84
1056,514,396,1,333.92
1057,514,196,2,780.32
1058,515,456,2,396.16
1059,515,110,1,181.35
1060,515,47,1,457.71
1061,516,357,1,468.46
1062,516,54,2,446.66
1063,517,126,2,885.04
1064,517,106,1,386.64
1065,517,431,1,241.67
1066,518,253,1,165.57
1067,518,498,2,690.7
1068,519,324,1,462.7
1069,519,15,2,988.14
1070,519,50,1,260.35
1071,520,265,1,313.3
1072,520,24,2,247.46
1073,521,425,2,533.78
1074,522,221,2,781.72
1075,522,478,2,253.46
1076,523,32,2,388.58
1077,523,484,2,598.94
1078,524,13,2,644.1
1079,524,367,1,390.97
1080,524,197,2,502.1
1081,525,417,2,255.36
1082,526,245,1,440.19
1083,526,434,1,181.8
1084,527,51,2,538.96
1085,527,277,2,727.76
1086,527,143,2,992.56
1087,528,369,1,232.1
1088,528,423,2,466.96
1089,528,135,2,418.48
1090,529,29,2,414.22
1091,529,463,1,134.73
1092,530,167,2,918.14
1093,530,248,2,694.3
1094,530,5,1,232.44
1095,531,410,2,426.3
1096,531,308,1,489.23
1097,532,453,2,843.56
1098,533,179,1,219.94
1099,534,37,2,695.52
1100,534,402,2,471.54
1101,534,489,2,812.2
1102,535,500,1,378.32
1103,536,150,2,905.72
1104,537,237,2,940.4
1105,537,271,1,470.64
1106,537,152,2,716.12
1107,538,145,1,276.37
1108,539,162,2,623.22
1109,540,21,2,308.78
1110,540,309,2,546.92
1111,540,379,1,363.87
1112,541,342,1,239.62
1113,542,349,2,712.72
1114,543,169,1,483.14
1115,543,158,1,147.69
1116,543,56,2,626.98
1117,544,398,2,693.24
1118,545,247,2,810.28
1119,545,439,2,596.82
1120,546,354,1,115.23
1121,547,63,2,836.86
1122,548,158,2,295.38
1123,548,52,2,771.1
1124,549,304,2,853.84
1125,549,145,2,552.74
1126,550,129,2,604.54
1127,551,261,1,290.27
1128,552,324,1,462.7
1129,552,140,2,430.62
1130,553,81,2,245.22
1131,553,384,2,671.2
1132,553,295,1,224.75
1133,554,498,2,690.7
1134,554,11,1,453.72
1135,555,436,2,260.98
1136,555,460,2,248.92
1137,556,384,2,671.2
1138,556,287,2,582.28
1139,556,287,1,291.14
1140,557,245,2,880.38
1141,558,438,2,598.54
1142,558,474,1,464.24
1143,559,141,1,334.65
1144,560,233,1,484.9
1145,560,217,1,103.6
1146,560,434,2,363.6
1147,561,222,2,352.8
1148,561,356,2,915.6
1149,562,308,1,489.23
1150,563,65,2,768.1
